web-scraper-order,web-scraper-start-url,title_link,title_link-href,pagintion,pagintion-href,date,add,add-href,title_text
"1543755176-1226","https://timesofindia.indiatimes.com/topic/HIV/news","Man jabbed syringe with HIV+ mother's blood into his wife
20 Sep 2017","https://timesofindia.indiatimes.com/city/mumbai/man-jabbed-syringe-with-hiv-moms-blood-into-his-wife/articleshow/60754379.cms","13","https://timesofindia.indiatimes.com/topic/HIV/news/13","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543753977-591","https://timesofindia.indiatimes.com/topic/HIV/news","HIV due to transfusion: Kid tests negative in Chennai
03 Nov 2017However, reliable sources from the RCC said the status of the disease can be confirmed only after the final result is obtained from the national institute in New Delhi.","https://timesofindia.indiatimes.com/city/thiruvananthapuram/hiv-due-to-transfusion-kid-tests-negative-in-chennai/articleshow/61478954.cms","18","https://timesofindia.indiatimes.com/topic/HIV/news/18","","","","CPM to ignore advice by V S Achuthanandan"
"1543753973-585","https://timesofindia.indiatimes.com/topic/HIV/news","Women’s panel shifts HIV positive woman, infant to Gandhi Bhavan
06 Dec 2017An HIV positive woman, who delivered a baby at SAT hospital last week, was shifted to Gandhi Bhavan in Pathanapuram on Tuesday with the support of the hospital and women’s commission.","https://timesofindia.indiatimes.com/city/thiruvananthapuram/womens-panel-shifts-hiv-positive-woman-infant-to-gandhi-bhavan/articleshow/61940970.cms","18","https://timesofindia.indiatimes.com/topic/HIV/news/18","","","","Panel headed by VS holds public hearing in capital"
"1543755528-1636","https://timesofindia.indiatimes.com/topic/HIV/news","Private Blood bank sealed in Jalandhar amid serious irregularities
04 Aug 2018","https://timesofindia.indiatimes.com/city/ludhiana/private-blood-bank-seized-in-jalandhar-amid-serious-irregularities/articleshow/65274314.cms","10","https://timesofindia.indiatimes.com/topic/HIV/news/10","","","","Private Blood bank sealed in Jalandhar amid serious irregularities"
"1543755315-1289","https://timesofindia.indiatimes.com/topic/HIV/news","62% jump in HIV/AIDS deaths in Mumbai in 1 year: Health ministry
19 May 2018","https://timesofindia.indiatimes.com/city/mumbai/62-jump-in-hiv/aids-deaths-in-mumbai-in-1-year-health-ministry/articleshow/64228799.cms","13","https://timesofindia.indiatimes.com/topic/HIV/news/13","","","","Life term for 75-year-old who raped his 13-year-old student"
"1543755342-1343","https://timesofindia.indiatimes.com/topic/HIV/news","AIDS control trust to reach out to HIV+ blood donors
07 Jun 2018","https://timesofindia.indiatimes.com/city/mumbai/aids-control-trust-to-reach-out-to-hiv-blood-donors/articleshow/64500890.cms","12","https://timesofindia.indiatimes.com/topic/HIV/news/12","","","","Crop insurers still to clear claims of 25 lakh farmers"
"1543754690-936","https://timesofindia.indiatimes.com/topic/HIV/news","Blood test before marriage: A science teacher's unique initiative
20 Feb 2018","https://timesofindia.indiatimes.com/india/blood-test-before-marriage-a-science-teachers-unique-initiative/articleshow/63003873.cms","15","https://timesofindia.indiatimes.com/topic/HIV/news/15","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543754568-889","https://timesofindia.indiatimes.com/topic/HIV/news","Fearing boycott, locals use fake names at counselling
13 Feb 2018The locals of Bangarmau have started faking their identity at Integrated Counselling and Testing Centre (ICTC) fearing that if tested positive for HIV, either their employers would fire them or they would face ostracism by the villagers.","https://timesofindia.indiatimes.com/city/kanpur/fearing-boycott-locals-use-fake-names-at-counselling/articleshow/62895395.cms","15","https://timesofindia.indiatimes.com/topic/HIV/news/15","","","","Fearing boycott, locals use fake names at counselling"
"1543754964-1137","https://timesofindia.indiatimes.com/topic/HIV/news","23 inmates in Gorakhpur jail found HIV positive
28 Feb 2018","https://timesofindia.indiatimes.com/city/lucknow/23-prisoners-found-hiv-positive-in-gorakhpur/articleshow/63103328.cms","14","https://timesofindia.indiatimes.com/topic/HIV/news/14","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543753664-426","https://timesofindia.indiatimes.com/topic/HIV/news","Girl contracts HIV after transfusion, probe ordered
16 Sep 2017","https://timesofindia.indiatimes.com/city/thiruvananthapuram/girl-contracts-hiv-after-transfusion-probe-ordered/articleshow/60706554.cms","20","https://timesofindia.indiatimes.com/topic/HIV/news/20","","","","HIV infection for kid at RCC: Police to track blood donors"
"1543755450-1544","https://timesofindia.indiatimes.com/topic/HIV/news","Nursing home to pay Rs 30,000 damages
10 Jul 2018The West Bengal Clinical Establishment Regulatory Commission has penalized South Suburban Clinic Private Ltd for wrongly diagnosing a patient as HIV-positive after a blood test.","https://timesofindia.indiatimes.com/city/kolkata/nursing-home-to-pay-rs-30000-damages/articleshow/64928756.cms","11","https://timesofindia.indiatimes.com/topic/HIV/news/11","","","","Jalpaiguri circuit bench to open on August 17: Mamata Banerjee"
"1543756665-1944","https://timesofindia.indiatimes.com/topic/HIV/news","RIP Prejudice: Now, they tell their story with pride
07 Sep 2018The Supreme Court on Thursday flung the 1860-colonial law that criminalised homosexuality and wrote a new freedom song for lakhs of members of the LGBT community. Freedom to love anyone, from fear of persecution…There are still many stern battles to be fought and won for LGBT rights, but voices are getting louder and stronger…","https://timesofindia.indiatimes.com/india/r-i-p-prejudice-now-they-tell-their-story-with-pride/articleshow/65713866.cms","8","https://timesofindia.indiatimes.com/topic/HIV/news/8","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543756423-1860","https://timesofindia.indiatimes.com/topic/HIV/news","Homosexuality is a genetic disorder: Subramanian Swamy
06 Sep 2018","https://timesofindia.indiatimes.com/india/homosexuality-is-a-genetic-disorder-subramanian-swamy/articleshow/65707670.cms","8","https://timesofindia.indiatimes.com/topic/HIV/news/8","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543755370-1380","https://timesofindia.indiatimes.com/topic/HIV/news","Doctors delaying treatment to HIV patients, claims NGO
01 Dec 2017","https://timesofindia.indiatimes.com/city/mysuru/doctors-delaying-treatment-to-hiv-patients-claims-ngo/articleshow/61870237.cms","12","https://timesofindia.indiatimes.com/topic/HIV/news/12","","","","Doctors delaying treatment to HIV patients, claims NGO"
"1543755696-1795","https://timesofindia.indiatimes.com/topic/HIV/news","An HIV-positive dream hits house hurdle in Kolkata
04 Mar 2018","https://timesofindia.indiatimes.com/city/kolkata/an-hiv-positive-dream-hits-house-hurdle-in-city/articleshow/63162870.cms","9","https://timesofindia.indiatimes.com/topic/HIV/news/9","","","","‘Listing a building as Grade III is an invitation to demolish it’"
"1543755395-1415","https://timesofindia.indiatimes.com/topic/HIV/news","Recurring pain can be first sign of sickle cell disease
19 Jun 2018","https://timesofindia.indiatimes.com/city/hyderabad/recurring-pain-can-be-first-sign-of-sickle-cell-disease/articleshow/64642816.cms","12","https://timesofindia.indiatimes.com/topic/HIV/news/12","","","","Park Hyatt knocks HC door over high-intensity blasts"
"1543757087-1987","https://timesofindia.indiatimes.com/topic/HIV/news","Eight-year-old mauled to death by leopard in Moradabad
19 Sep 2018","https://timesofindia.indiatimes.com/city/bareilly/eight-year-old-mauled-to-death-by-leopard-in-moradabad/articleshow/65862721.cms","8","https://timesofindia.indiatimes.com/topic/HIV/news/8","","","","Fever deaths: ‘Deadly’ PF malaria cases detected in 5 west UP districts"
"1543755606-1693","https://timesofindia.indiatimes.com/topic/HIV/news","Stigma of HIV makes people quit UP villages
10 Feb 2018","https://timesofindia.indiatimes.com/city/lucknow/stigma-of-hiv-makes-people-quit-up-villages/articleshow/62858308.cms","9","https://timesofindia.indiatimes.com/topic/HIV/news/9","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543755159-1220","https://timesofindia.indiatimes.com/topic/HIV/news","No dengue, malaria deaths in Telangana, shows report
26 Apr 2018","https://timesofindia.indiatimes.com/city/hyderabad/no-dengue-malaria-deaths-in-telangana-shows-report/articleshow/63921417.cms","13","https://timesofindia.indiatimes.com/topic/HIV/news/13","","","","No dengue, malaria deaths in Telangana, shows report"
"1543755068-1197","https://timesofindia.indiatimes.com/topic/HIV/news","Marriage portal for HIV+ people
30 Aug 2017A matrimonial portal for HIV positive people was launched at the Indian Institute of Management, Ahmedabad, (IIM-A) on Tuesday and was handed over to Gujarat State Network of Positive People (GSNP) an organization run by the HIV-positive people and for the HIV positive people.","https://timesofindia.indiatimes.com/city/ahmedabad/marriage-portal-for-hiv-people/articleshow/60283207.cms","13","https://timesofindia.indiatimes.com/topic/HIV/news/13","","","","Marriage portal for HIV+ people"
"1543756182-1834","https://timesofindia.indiatimes.com/topic/HIV/news","On medicines for 16 years, youth stresses on family support
03 Sep 2018","https://timesofindia.indiatimes.com/city/mumbai/on-medicines-for-16-years-youth-stresses-on-family-support/articleshow/65650623.cms","8","https://timesofindia.indiatimes.com/topic/HIV/news/8","","","","On medicines for 16 years, youth stresses on family support"
"1543753613-349","https://timesofindia.indiatimes.com/topic/HIV/news","Case that changed HIV treatment forever
14 May 2017From being handcuffed and left to rot in an abandoned tuberculosis sanatorium to challenging the Goa Public Health Amendment Act, which called for mandatory isolation of HIV-positive persons, Dominic’s legal, medical and emotional journey irrevocably changed not only his own life but became a rallying cry in the struggle for equal rights to treatment and care for those with HIV in the country.","https://timesofindia.indiatimes.com/city/mumbai/case-that-changed-hiv-treatment-forever/articleshow/58664399.cms","20","https://timesofindia.indiatimes.com/topic/HIV/news/20","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543755419-1458","https://timesofindia.indiatimes.com/topic/HIV/news","Meet doctors in old Delhi who treat poor free of cost
01 Jul 2018","https://timesofindia.indiatimes.com/city/delhi/meet-doctors-in-old-delhi-who-treat-poor-free-of-cost/articleshow/64817038.cms","11","https://timesofindia.indiatimes.com/topic/HIV/news/11","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543754725-959","https://timesofindia.indiatimes.com/topic/HIV/news","HIV positive woman marries twice, kills first husband with the help of second
23 Feb 2018In a sensational incident from Bhadohi district of Uttar Pradesh, an HIV infected woman (name withheld to protect identity) has been arrested for conspiring with her second husband to kill her first husband.","https://timesofindia.indiatimes.com/india/hiv-positive-women-marries-twice-kills-first-husband-with-the-help-of-second/articleshow/63043159.cms","15","https://timesofindia.indiatimes.com/topic/HIV/news/15","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543755085-1202","https://timesofindia.indiatimes.com/topic/HIV/news","Kerala girl who 'tested' HIV+ after blood transfusion dies
12 Apr 2018The girl was treated for leukemia at the RCC from March 1 to November 1, 2017 and she was subjected to blood transfusion several times during this period.She was tested positive for HIV in August, 2017.","https://timesofindia.indiatimes.com/city/kochi/kochi-girl-who-tested-hiv-after-blood-transfusion-dies/articleshow/63723647.cms","13","https://timesofindia.indiatimes.com/topic/HIV/news/13","","","","Government can’t act like Robin Hood, Harrisons’ claim bona fide: Kerala high court"
"1543756423-1883","https://timesofindia.indiatimes.com/topic/HIV/news","Homosexuality is a genetic disorder: Subramanian Swamy
06 Sep 2018","https://timesofindia.indiatimes.com/india/homosexuality-is-a-genetic-disorder-subramanian-swamy/articleshow/65707670.cms","8","https://timesofindia.indiatimes.com/topic/HIV/news/8","","","","Homosexuality is a genetic disorder: Subramanian Swamy"
"1543754325-763","https://timesofindia.indiatimes.com/topic/HIV/news","Charlie Sheen: Struggled with borderline dementia
07 May 2017Actor Charlie Sheen said he suffered from borderline dementia when he used a combination of drugs to manage the effects of HIV.","https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/charlie-sheeni-struggled-with-borderline-dementia/articleshow/58560011.cms","17","https://timesofindia.indiatimes.com/topic/HIV/news/17","","","","Charlie Sheen: Struggled with borderline dementia"
"1543755450-1537","https://timesofindia.indiatimes.com/topic/HIV/news","Nursing home to pay Rs 30,000 damages
10 Jul 2018The West Bengal Clinical Establishment Regulatory Commission has penalized South Suburban Clinic Private Ltd for wrongly diagnosing a patient as HIV-positive after a blood test.","https://timesofindia.indiatimes.com/city/kolkata/nursing-home-to-pay-rs-30000-damages/articleshow/64928756.cms","11","https://timesofindia.indiatimes.com/topic/HIV/news/11","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543754725-951","https://timesofindia.indiatimes.com/topic/HIV/news","HIV positive woman marries twice, kills first husband with the help of second
23 Feb 2018In a sensational incident from Bhadohi district of Uttar Pradesh, an HIV infected woman (name withheld to protect identity) has been arrested for conspiring with her second husband to kill her first husband.","https://timesofindia.indiatimes.com/india/hiv-positive-women-marries-twice-kills-first-husband-with-the-help-of-second/articleshow/63043159.cms","15","https://timesofindia.indiatimes.com/topic/HIV/news/15","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543753734-489","https://timesofindia.indiatimes.com/topic/HIV/news","‘AIDS is no longer a death sentence’
15 Feb 2017A lot of queries, myths, stigma surround HIV/AIDS. The human immuno-deficiency virus is still considered synonymous with death.","https://timesofindia.indiatimes.com/city/visakhapatnam/aids-is-no-longer-a-death-sentence/articleshow/57152828.cms","19","https://timesofindia.indiatimes.com/topic/HIV/news/19","","","","VPT handles 50.9 million tonnes of cargo in 10 months"
"1543754903-1096","https://timesofindia.indiatimes.com/topic/HIV/news","Free viral load test for HIV at three ART centres from April 19
17 Mar 2018","https://timesofindia.indiatimes.com/city/patna/free-viral-load-test-for-hiv-at-three-art-centres-soon/articleshow/63336811.cms","14","https://timesofindia.indiatimes.com/topic/HIV/news/14","","","","AAI to start construction of boundary wall at Bihta airbase from May"
"1543754725-965","https://timesofindia.indiatimes.com/topic/HIV/news","HIV positive woman marries twice, kills first husband with the help of second
23 Feb 2018In a sensational incident from Bhadohi district of Uttar Pradesh, an HIV infected woman (name withheld to protect identity) has been arrested for conspiring with her second husband to kill her first husband.","https://timesofindia.indiatimes.com/india/hiv-positive-women-marries-twice-kills-first-husband-with-the-help-of-second/articleshow/63043159.cms","15","https://timesofindia.indiatimes.com/topic/HIV/news/15","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543755821-1811","https://timesofindia.indiatimes.com/topic/HIV/news","IAVI, Serum join hands to develop antibody products for HIV, other diseases
22 Oct 2018New Delhi, Oct 22 () The International AIDS Vaccine Initiative (IAVI) and Serum Institute of India Monday announced a strategic partnership to develop and manufacture monoclonal antibody products for HIV and other global health challenges.","https://timesofindia.indiatimes.com/business/india-business/iavi-serum-join-hands-to-develop-antibody-products-for-hiv-other-diseases/articleshow/66321452.cms","9","https://timesofindia.indiatimes.com/topic/HIV/news/9","","","","India to send team to Indonesia in connection with polio vaccine contamination probe"
"1543754183-683","https://timesofindia.indiatimes.com/topic/HIV/news","Adultery by hubbies leaves women vulnerable to HIV
03 Dec 2017","https://timesofindia.indiatimes.com/city/trichy/adultery-by-hubbies-leaves-women-vulnerable-to-hiv/articleshow/61898224.cms","17","https://timesofindia.indiatimes.com/topic/HIV/news/17","","","","Karthigai Deepam begins as lamp atop Rockfort comes to life"
"1543753702-457","https://timesofindia.indiatimes.com/topic/HIV/news","20,500 got HIV through blood transfusion in 11 years: Data
10 Feb 2018","https://timesofindia.indiatimes.com/city/chennai/20500-got-hiv-through-blood-transfusion-in-11-years-data/articleshow/62858123.cms","20","https://timesofindia.indiatimes.com/topic/HIV/news/20","","","","Engravings that find meaning in mundane"
"1543758232-2062","https://timesofindia.indiatimes.com/topic/HIV/news","2 patients allege Davanagere hospital issued false HIV-positive reports, file plaints
03 Oct 2018","https://timesofindia.indiatimes.com/city/bengaluru/2-patients-allege-davanagere-hosp-issued-false-hiv-positive-reports-file-plaints/articleshow/66045640.cms","7","https://timesofindia.indiatimes.com/topic/HIV/news/7","","","","Bangalore Metro Rail Corporation Ltd under lens for alleged tender irregularities"
"1543754302-761","https://timesofindia.indiatimes.com/topic/HIV/news","HIV-positive woman gets SC's support over abortion
03 May 2017Thanks to the Supreme Court, a 35 year-old destitute HIV-positive woman, facing complications in her 26-week pregnancy arising from a sexual assault, will get treatment in the country's premier All India Institute of Medical Sciences (AIIMS).","https://timesofindia.indiatimes.com/india/hiv-positive-woman-gets-scs-support-over-abortion/articleshow/58505594.cms","17","https://timesofindia.indiatimes.com/topic/HIV/news/17","","","","Ordinance empowers Reserve Bank of India to act against top loan defaulters"
"1543754960-1121","https://timesofindia.indiatimes.com/topic/HIV/news","Cell phone-based tech to allow at-home blood testing
27 Mar 2018​​​Researchers at the University of South Florida in the US created a mobile version of the ""Enzyme Linked Immunosorbent Assay"" (ELISA), the gold standard technique used to detect the presence of an antibody or antigen.","https://timesofindia.indiatimes.com/home/science/cell-phone-based-tech-to-allow-at-home-blood-testing/articleshow/63487251.cms","14","https://timesofindia.indiatimes.com/topic/HIV/news/14","","","","Arctic sea ice extent among lowest on record: NASA"
"1543756122-1827","https://timesofindia.indiatimes.com/topic/HIV/news","Don't believe I have 'made it', said Mathhew McConaughey
02 Sep 2018Mathhew McConaughey said he does not believe he has 'made it' in Hollywood.","https://timesofindia.indiatimes.com/entertainment/english/hollywood/news/dont-believe-i-have-made-it-said-mathhew-mcconaughey/articleshow/65644352.cms","8","https://timesofindia.indiatimes.com/topic/HIV/news/8","","","","Jonas Bloquet's spooky 'The Nun' experience"
"1543757207-1993","https://timesofindia.indiatimes.com/topic/HIV/news","India eyes 100% switch from disposable to reuse prevention syringes by 2020
20 Sep 2018","https://timesofindia.indiatimes.com/india/india-eyes-100-switch-from-disposable-to-reuse-prevention-syringes-by-2020/articleshow/65891851.cms","7","https://timesofindia.indiatimes.com/topic/HIV/news/7","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543753688-440","https://timesofindia.indiatimes.com/topic/HIV/news","Kerala opts for latest Elisa test kit for HIV detection
29 Jan 2018Kerala State AIDS Control Society (KSACS) has decided to go with 4th generation Elisa test, instead of nucleic acid-based test, to detect HIV in the window period.","https://timesofindia.indiatimes.com/city/thiruvananthapuram/kerala-opts-for-latest-elisa-test-kit-for-hiv-detection/articleshow/62689603.cms","20","https://timesofindia.indiatimes.com/topic/HIV/news/20","","","","Kerala opts for latest Elisa test kit for HIV detection"
"1543757267-2003","https://timesofindia.indiatimes.com/topic/HIV/news","8% of TB patients in Karnataka are HIV positive, third highest in India
06 Apr 2018The prevalence of HIV positivity among TB patients in Karnataka is the third highest in the country. According to the India Tuberculosis 2018 report released recently, 8% of the TB patients suffer from HIV infection and are aware of the condition.","https://timesofindia.indiatimes.com/city/bengaluru/8-of-tb-patients-in-ktaka-are-hiv-positive-third-highest-in-india/articleshow/63633669.cms","7","https://timesofindia.indiatimes.com/topic/HIV/news/7","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543754828-1026","https://timesofindia.indiatimes.com/topic/HIV/news","Unnao’s ‘HIV-peddling’ quack arrested
08 Feb 2018","https://timesofindia.indiatimes.com/city/kanpur/unnaos-hiv-peddling-quack-arrested/articleshow/62825227.cms","15","https://timesofindia.indiatimes.com/topic/HIV/news/15","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543757026-1982","https://timesofindia.indiatimes.com/topic/HIV/news","Meerut gets its first counselling centre for mental health patients
18 Sep 2018","https://timesofindia.indiatimes.com/city/meerut/meerut-gets-its-first-counselling-centre-for-mental-health-patients/articleshow/65847784.cms","8","https://timesofindia.indiatimes.com/topic/HIV/news/8","","","","Meerut gets its first counselling centre for mental health patients"
"1543753627-384","https://timesofindia.indiatimes.com/topic/HIV/news","AIDS patient hangs herself on Osmania hospital premises
06 Oct 2017","https://timesofindia.indiatimes.com/city/hyderabad/aids-patient-hangs-herself-on-osmania-hospital-premises/articleshow/60964697.cms","20","https://timesofindia.indiatimes.com/topic/HIV/news/20","","","","Pink hue over coal belt in prestige war"
"1543754603-897","https://timesofindia.indiatimes.com/topic/HIV/news","Condoms distributed on eve of Valentine's Day to fight HIV/AIDS
13 Feb 2018","https://timesofindia.indiatimes.com/city/mumbai/condoms-distributed-on-eve-of-valentines-day-to-fight-hiv/aids/articleshow/62904014.cms","15","https://timesofindia.indiatimes.com/topic/HIV/news/15","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543754964-1128","https://timesofindia.indiatimes.com/topic/HIV/news","23 inmates in Gorakhpur jail found HIV positive
28 Feb 2018","https://timesofindia.indiatimes.com/city/lucknow/23-prisoners-found-hiv-positive-in-gorakhpur/articleshow/63103328.cms","14","https://timesofindia.indiatimes.com/topic/HIV/news/14","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543757731-2038","https://timesofindia.indiatimes.com/topic/HIV/news","Zydus Cadila gets USFDA nod to market generic HIV treatment tablets
16 Nov 2018New Delhi, Nov 16 () Drug firm Zydus Cadila Friday said it has received final approval from the US health regulator to market generic Abacavir and Lamivudine tablets used for treatment of a type of HIV infection.","https://timesofindia.indiatimes.com/business/india-business/zydus-cadila-gets-usfda-nod-to-market-generic-hiv-treatment-tablets/articleshow/66650783.cms","7","https://timesofindia.indiatimes.com/topic/HIV/news/7","","","","Govt to soon unveil new industrial policy: DIPP Secretary"
"1543755450-1539","https://timesofindia.indiatimes.com/topic/HIV/news","Nursing home to pay Rs 30,000 damages
10 Jul 2018The West Bengal Clinical Establishment Regulatory Commission has penalized South Suburban Clinic Private Ltd for wrongly diagnosing a patient as HIV-positive after a blood test.","https://timesofindia.indiatimes.com/city/kolkata/nursing-home-to-pay-rs-30000-damages/articleshow/64928756.cms","11","https://timesofindia.indiatimes.com/topic/HIV/news/11","","Know more about Times Points","http://timesofindia.indiatimes.com/abouttimesrewards.cms",""
"1543754172-674","https://timesofindia.indiatimes.com/topic/HIV/news","Government, KGMU agree to disagree on HIV data
01 Dec 2017","https://timesofindia.indiatimes.com/city/lucknow/government-kgmu-agree-to-disagree-on-hiv-data/articleshow/61874106.cms","17","https://timesofindia.indiatimes.com/topic/HIV/news/17","","","","Lucknow University PhD admissions unlikely to be completed this year"
"1543754284-754","https://timesofindia.indiatimes.com/topic/HIV/news","After blood transfusion at government hospital, 6-year-old tests HIV+
13 Jan 2018The family found out about their child contracting HIV earlier this month after blood tests at Civil Hospital, Roorkee, where he was being treated for the blood disorder since August 2017, revealed the infection","https://timesofindia.indiatimes.com/city/dehradun/after-blood-transfusion-at-government-hospital-6-year-old-tests-hiv/articleshow/62478692.cms","17","https://timesofindia.indiatimes.com/topic/HIV/news/17","","","","Uttarakhand to have 179 automated weather stations in next four months"
"1543755393-1411","https://timesofindia.indiatimes.com/topic/HIV/news","Soon, test to measure amount of HIV virus in patients’ blood
30 Nov 2017Following years of protest, the Centre is set to roll out the viral load-testing for HIV/AIDS patients in the next six months across the country. The test essentially tells whether the treatment regimen is working or not by measuring the amount of HIV virus in a patient’s blood.","https://timesofindia.indiatimes.com/city/mumbai/soon-test-to-measure-amount-of-hiv-virus-in-patients-blood/articleshow/61871327.cms","12","https://timesofindia.indiatimes.com/topic/HIV/news/12","","","","University reschedules law exams, students upset"
